ANGLO-CHINESE JUNIOR COLLEGE,WEST 1,25 DOVER CLOSE EAST,139745
CLEMENTI PRIMARY SCHOOL,WEST 1,8 CLEMENTI AVE 3,129903
CLEMENTI TOWN SECONDARY SCHOOL,WEST 1,10 CLEMENTI AVE 3,129904
HENRY PARK PRIMARY SCHOOL,WEST 1,1 HOLLAND GROVE ROAD,278790
NAN HUA HIGH SCHOOL,WEST 1,41 CLEMENTI AVENUE 1,129956
NAN HUA PRIMARY SCHOOL,WEST 1,30 JALAN LEMPENG,128806
NEW TOWN SECONDARY SCHOOL,WEST 1,1020 DOVER ROAD,139657
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,WEST 1,20 Clementi Avenue 1,129957
QIFA PRIMARY SCHOOL,WEST 1,50 WEST COAST AVENUE,128104
SHUQUN SECONDARY SCHOOL,WEST 1,450 JURONG EAST STREET 21,609604
TANGLIN SECONDARY SCHOOL,WEST 1,301 WEST COAST ROAD,127391
YUHUA PRIMARY SCHOOL,WEST 1,158 JURONG EAST STREET 24,609558
CHUA CHU KANG PRIMARY SCHOOL,WEST 2,20 CHOA CHU KANG AVENUE 2,689905
CONCORD PRIMARY SCHOOL,WEST 2,3 CHOA CHU KANG AVE 4,689814
DE LA SALLE SCHOOL,WEST 2,11 Choa Chu Kang St 52,689285
DUNEARN SECONDARY SCHOOL,WEST 2,247 Jalan Boon Lay,619522
HILLGROVE SECONDARY SCHOOL,WEST 2,10 BUKIT BATOK STREET 52,659250
PIONEER JUNIOR COLLEGE,WEST 2,21 Teck Whye Walk,688258
SOUTH VIEW PRIMARY SCHOOL,WEST 2,6 Choa Chu Kang Central,689762
ST. ANTHONY'S PRIMARY SCHOOL,WEST 2,30 Bukit Batok St 32,659401
SWISS COTTAGE SECONDARY SCHOOL,WEST 2,3 BUKIT BATOK STREET 34,659322
UNITY PRIMARY SCHOOL,WEST 2,21 CHOA CHU KANG CRESCENT,688268
UNITY SECONDARY SCHOOL,WEST 2,20 CHOA CHU KANG STREET 62,689143
YUSOF ISHAK SECONDARY SCHOOL,WEST 2,11 BUKIT BATOK STREET 25,658712
BOON LAY SECONDARY SCHOOL,WEST 3,11 JURONG WEST STREET 65,648354
FRONTIER PRIMARY SCHOOL,WEST 3,20 Jurong West Street 61,648200
JURONG WEST PRIMARY SCHOOL,WEST 3,30 JURONG WEST ST 61,648368
JURONG WEST SECONDARY SCHOOL,WEST 3,61 JURONG WEST STREET 65,648348
JUYING PRIMARY SCHOOL,WEST 3,31 JURONG WEST STREET 91,649037
JUYING SECONDARY SCHOOL,WEST 3,33 JURONG WEST STREET 91,649038
METHODIST GIRLS' SCHOOL (PRIMARY),WEST 3,11 Blackmore Drive,599986
METHODIST GIRLS' SCHOOL (SECONDARY),WEST 3,11 BLACKMORE DRIVE,599986
PIONEER PRIMARY SCHOOL,WEST 3,23 JURONG WEST STREET 81,649076
PIONEER SECONDARY SCHOOL,WEST 3,21 JURONG WEST STREET 81,649075
WEST GROVE PRIMARY SCHOOL,WEST 3,1 JURONG WEST ST 72,649223
WESTWOOD SECONDARY SCHOOL,WEST 3,11 JURONG WEST STREET 25,648350
XINGNAN PRIMARY SCHOOL,WEST 3,5 JURONG WEST STREET 91,649036
BUKIT TIMAH PRIMARY SCHOOL,WEST 4,111 Lorong Kismis Bukit Timah Primary School,598112
BUKIT VIEW PRIMARY SCHOOL,WEST 4,18 BUKIT BATOK STREET 21,659634
BUKIT VIEW SECONDARY SCHOOL,WEST 4,16 BUKIT BATOK STREET 21,659633
DAZHONG PRIMARY SCHOOL,WEST 4,35 BUKIT BATOK STREET 31,659441
HONG KAH SECONDARY SCHOOL,WEST 4,931 JURONG WEST STREET 42,649370
HUA YI SECONDARY SCHOOL,WEST 4,60 JURONG WEST ST 42,649371
JURONG PRIMARY SCHOOL,WEST 4,320 JURONG EAST Street 32,609476
JURONGVILLE SECONDARY SCHOOL,WEST 4,202 JURONG EAST AVENUE 1,609790
KEMING PRIMARY SCHOOL,WEST 4,90 BUKIT BATOK EAST AVENUE 6,659762
LIANHUA PRIMARY SCHOOL,WEST 4,2 BUKIT BATOK STREET 52,659243
YUAN CHING SECONDARY SCHOOL,WEST 4,103 YUAN CHING ROAD,618654
BUKIT PANJANG GOVT. HIGH SCHOOL,WEST 5,7 CHOA CHU KANG AVE 4,689809
CHUA CHU KANG SECONDARY SCHOOL,WEST 5,3 TECK WHYE CRESCENT,688845
GREENRIDGE PRIMARY SCHOOL,WEST 5,11 JELAPANG ROAD,677744
NANYANG PRIMARY SCHOOL,WEST 5,52 KING'S ROAD,268097
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,WEST 5,7 PEI WAH AVENUE,597610
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",WEST 5,1 Technology Drive,138572
TECK WHYE PRIMARY SCHOOL,WEST 5,11 TECK WHYE WALK,688261
TECK WHYE SECONDARY SCHOOL,WEST 5,31 TECK WHYE CRESCENT,688848
WEST SPRING SECONDARY SCHOOL,WEST 5,61 SENJA ROAD,677737
WEST VIEW PRIMARY SCHOOL,WEST 5,31 SENJA ROAD,677742
ZHENGHUA PRIMARY SCHOOL,WEST 5,9 Fajar Road,679002
ASSUMPTION ENGLISH SCHOOL,WEST 6,622 Upper Bukit Timah Road Assumption English School,678117
ASSUMPTION PATHWAY SCHOOL,WEST 6,30 Cashew Road,679697
BEACON PRIMARY SCHOOL,WEST 6,36 Bukit Panjang Ring Road,679944
GREENRIDGE SECONDARY SCHOOL,WEST 6,32 BUKIT PANJANG RING ROAD,679938
HWA CHONG INSTITUTION,WEST 6,661 BUKIT TIMAH ROAD,269734
JURONG JUNIOR COLLEGE,WEST 6,800 CORPORATION ROAD,649809
JURONG SECONDARY SCHOOL,WEST 6,31 YUAN CHING ROAD,618652
NANYANG GIRLS' HIGH SCHOOL,WEST 6,2 LINDEN DRIVE,288683
WEST SPRING PRIMARY SCHOOL,WEST 6,60 Bukit Panjang Ring Road,679946
ZHENGHUA SECONDARY SCHOOL,WEST 6,91 SENJA ROAD,677741
BUKIT BATOK SECONDARY SCHOOL,WEST 7,50 BUKIT BATOK WEST AVE 8,658962
COMMONWEALTH SECONDARY SCHOOL,WEST 7,698 WEST COAST ROAD,608784
FUHUA PRIMARY SCHOOL,WEST 7,65 JURONG EAST STREET 13,609647
FUHUA SECONDARY SCHOOL,WEST 7,5 JURONG WEST STREET 41,649410
LAKESIDE PRIMARY SCHOOL,WEST 7,161 Corporation Walk,618310
MILLENNIA INSTITUTE,WEST 7,60 Bukit Batok West Avenue 8,658965
PRINCESS ELIZABETH PRIMARY SCHOOL,WEST 7,30 BUKIT BATOK WEST AVENUE 3,659163
RIVER VALLEY HIGH SCHOOL,WEST 7,6 BOON LAY AVENUE,649961
RULANG PRIMARY SCHOOL,WEST 7,6 JURONG WEST STREET 52,649295
SHUQUN PRIMARY SCHOOL,WEST 7,8 JURONG WEST STREET 51,649332
YUHUA SECONDARY SCHOOL,WEST 7,35 JURONG WEST STREET 41,649406
BOON LAY GARDEN PRIMARY SCHOOL,WEST 8,20 BOON LAY DRIVE,649930
BUKIT PANJANG PRIMARY SCHOOL,WEST 8,109 CASHEW ROAD,679676
CHIJ OUR LADY QUEEN OF PEACE,WEST 8,4 Chestnut Drive,679287
CORPORATION PRIMARY SCHOOL,WEST 8,31 JURONG WEST STREET 24,648347
CREST SECONDARY SCHOOL,WEST 8,561 JURONG EAST STREET 24,609561
FAJAR SECONDARY SCHOOL,WEST 8,58 Chestnut Drive,679301
KRANJI PRIMARY SCHOOL,WEST 8,11 CHOA CHU KANG STREET 54,689189
KRANJI SECONDARY SCHOOL,WEST 8,61 CHOA CHU KANG STREET 51,689333
REGENT SECONDARY SCHOOL,WEST 8,50 CHOA CHU KANG NORTH 5,689621
WESTWOOD PRIMARY SCHOOL,WEST 8,1 Jurong West Street 73,649188
YEW TEE PRIMARY SCHOOL,WEST 8,10 CHOA CHU KANG ST 64,689100
